"ASVID"	"AS1A1"	"AS1A2"	"AS1A3"	"AS1B1"	"AS1B2"	"AS1B3"	"AS1C1"	"AS1C2"	"AS1C3"	"AS2A1"	"AS2A2"	"AS2A3"	"AS2B1"	"AS2B2"	"AS2B3"	"AS2C1"	"AS2C2"	"AS2C3"	"S3C1"	"S3C2"	"S3C3"
"158"	"3da243b6e92d0ec9efdf25e86257b360"	18	10	0	0	4	0	15	13	18	0	0	13	0	0	0	0	0	0	0	0	0
"159"	"b4d5f256ff64a429d24e711f8033595c"	23	7	13	7	0	0	0	0	0	6	7	11	3	2	3	4	0	4	0	0	0
"160"	"f07ce3f4bc0b23705109a7efe675338b"	0	0	0	0	0	0	1	6	7	0	0	1	0	0	0	15	14	11	10	19	6
"161"	"c24c77e8995ab4f2e4f170542b2a8981"	3	0	4	13	8	4	11	0	0	10	2	9	5	0	0	6	8	6	0	1	0
"162"	"e1aa52976804a30e6a1319a603350fda"	5	3	7	9	14	6	2	5	5	7	0	5	4	0	4	5	5	3	0	0	0
"163"	"78da78236ff9084d25f1f7006bfa9483"	7	4	5	5	4	11	0	6	10	5	3	0	14	0	4	0	2	7	0	2	0
"164"	"67f4695d23641e56010abaafcfdc92f6"	8	0	4	0	16	8	0	2	4	11	7	13	12	0	4	0	0	0	0	0	0
"165"	"4e59fd52a0406e93de7987d7e57f9e65"	9	2	4	8	6	9	0	2	5	0	3	9	10	5	7	3	0	5	0	0	2
"166"	"c0f6e1713c522d9a64b2b6cbc3684889"	0	0	0	0	7	0	7	6	5	4	0	5	3	4	0	10	16	10	5	6	0
"167"	"da007bf5e0c12ca18c3f4468d28ff214"	0	0	0	0	9	5	1	8	8	0	0	0	0	0	0	16	18	18	1	0	3
"168"	"2733e720f450836151a23417074e40af"	12	10	5	8	0	10	0	11	6	12	0	0	2	0	9	0	0	0	0	2	0
"169"	"8f6b8ceac48d9b8a5d9c363bfe1a2b20"	2	3	5	13	0	19	0	2	2	11	3	15	0	0	5	0	1	0	0	3	2
"170"	"9e800ec9fb8a3ad7e38ec9901aad4a07"	2	2	0	3	0	2	2	6	0	1	0	4	4	0	3	12	0	15	6	22	2
"171"	"3d066ede393a9ed7490015e86949c5ce"	6	7	0	2	2	4	0	5	2	2	0	2	0	0	0	19	9	24	0	2	0
"172"	"18e2e7b2d4b8cbeedca78ed50d9fb5e2"	4	0	3	0	3	2	5	7	12	4	0	0	14	6	4	4	6	0	4	2	6
"173"	"f88aa64d4346e15adb85826eaf3b600a"	6	3	5	7	1	2	9	4	9	14	1	4	1	0	8	1	6	2	0	2	0
"174"	"c5314312684ffc07db436551f93ef2c0"	0	0	0	0	2	0	10	9	7	4	0	6	7	0	0	6	16	13	2	0	3
"175"	"0285fe0ee2084c86c2c72fe8519180bf"	0	0	0	14	11	16	0	0	3	11	0	12	0	9	7	0	2	0	0	0	0
